,collectCount,commentCount,createTimeISO,likes,mentions0,mentions1,playCount,shareCount,text,videoMeta/duration,videoMeta/format
161,203,36,2024-06-16T17:25:43.000Z,2648,@Afnan,,97100,130,monochromatic glowy makeup dano mauve duo,19,mp4
162,614,126,2024-06-16T16:04:18.000Z,33300,,,369800,299,’ shrinking world rhode,19,mp4
163,532,174,2024-06-15T20:45:19.000Z,9587,@Madison,,138400,375,itsy bitsy unboxing amateau,8,mp4
164,7170,749,2024-06-15T19:57:37.000Z,128600,,,1400000,9551,new summer lip tints designed pair pocket blush full monochromatic look glowy cheeks glossy lips go,6,mp4
165,108,36,2024-06-15T18:59:13.000Z,3551,@Toni,,87700,31,blushing day long bravo day night summer look ft pocket blush new peptide lip tints arriving june 20th 9am pt,82,mp4
166,2641,466,2024-06-15T17:20:36.000Z,44200,,,420000,7229,little blush takes big apple bringing pocket sized pop nyc month join us get rhode essentials irl  pocket blush summer peptide lip tints summer lip cases core skincare june 24th july 3rd 11am 7pm daily 127 greene st new york ny 10012 details rhodeskincom,5,mp4
167,1246,278,2024-06-15T17:05:45.000Z,32400,,,221700,379,two years rhode,56,mp4
168,981,144,2024-06-14T18:47:53.000Z,13900,,,200300,426,meet duos available four color combos pink duo piggy shortcake peach duo freckle peach pit mauve duo sleepy girl salty tan coral duo spicy marg guava spritz,0,
169,1177,481,2024-06-14T17:34:36.000Z,36100,,,295300,700,rhode unboxing ft new pocket blushes summer lip tints,18,mp4
170,649,183,2024-06-14T16:51:55.000Z,7391,,,162200,1077,lip case got tinted launching june 20th 9am pt,4,mp4
171,25900,2650,2024-06-14T16:25:21.000Z,1000000,,,6900000,10900,bts hb summer lip tints,12,mp4
172,11500,1191,2024-06-14T16:13:33.000Z,202000,,,1600000,16200,introducing limited edition summer peptide lip tints see june 20th 9am pt,13,mp4
173,410,84,2024-06-13T22:57:13.000Z,6307,@Namvo,,197100,255,creamy lightweight formula melts smoothly  pocket blush,32,mp4
